subset,k,count,geometry_evaluable_count,baseline_acc_at_1,any_coverage,all_coverage,dense_any_reachability,dense_all_reachability
all,1,4255,417,30.79,29.5,18.94,100.0,100.0
all,3,4255,417,30.79,46.04,35.97,100.0,100.0
all,5,4255,417,30.79,67.87,54.2,100.0,100.0
all,10,4255,417,30.79,83.69,73.62,100.0,100.0
same_class_clutter,1,2373,268,21.41,36.94,23.51,100.0,100.0
same_class_clutter,3,2373,268,21.41,50.37,37.69,100.0,100.0
same_class_clutter,5,2373,268,21.41,73.13,54.85,100.0,100.0
same_class_clutter,10,2373,268,21.41,88.81,78.73,100.0,100.0
same_class_high_clutter,1,697,144,15.78,37.5,22.22,100.0,100.0
same_class_high_clutter,3,697,144,15.78,57.64,45.83,100.0,100.0
same_class_high_clutter,5,697,144,15.78,75.0,56.94,100.0,100.0
same_class_high_clutter,10,697,144,15.78,89.58,88.19,100.0,100.0
unique_class,1,0,0,,,,,
unique_class,3,0,0,,,,,
unique_class,5,0,0,,,,,
unique_class,10,0,0,,,,,
multi_anchor,1,93,93,19.35,47.31,0.0,100.0,100.0
multi_anchor,3,93,93,19.35,53.76,8.6,100.0,100.0
multi_anchor,5,93,93,19.35,75.27,13.98,100.0,100.0
multi_anchor,10,93,93,19.35,100.0,54.84,100.0,100.0
single_anchor,1,341,324,24.05,24.38,24.38,100.0,100.0
single_anchor,3,341,324,24.05,43.83,43.83,100.0,100.0
single_anchor,5,341,324,24.05,65.74,65.74,100.0,100.0
single_anchor,10,341,324,24.05,79.01,79.01,100.0,100.0
relative_position,1,968,118,29.24,27.12,17.8,100.0,100.0
relative_position,3,968,118,29.24,40.68,34.75,100.0,100.0
relative_position,5,968,118,29.24,68.64,57.63,100.0,100.0
relative_position,10,968,118,29.24,82.2,71.19,100.0,100.0
directional,1,1385,128,30.11,25.78,15.62,100.0,100.0
directional,3,1385,128,30.11,42.19,28.91,100.0,100.0
directional,5,1385,128,30.11,64.84,47.66,100.0,100.0
directional,10,1385,128,30.11,81.25,71.88,100.0,100.0
between,1,129,21,42.64,33.33,23.81,100.0,100.0
between,3,129,21,42.64,71.43,57.14,100.0,100.0
between,5,129,21,42.64,71.43,66.67,100.0,100.0
between,10,129,21,42.64,95.24,71.43,100.0,100.0
relational,1,2577,283,30.66,26.86,17.31,100.0,100.0
relational,3,2577,283,30.66,43.82,34.28,100.0,100.0
relational,5,2577,283,30.66,66.78,53.36,100.0,100.0
relational,10,2577,283,30.66,83.04,72.08,100.0,100.0
dense_scene,1,752,82,29.39,30.49,17.07,100.0,100.0
dense_scene,3,752,82,29.39,53.66,45.12,100.0,100.0
dense_scene,5,752,82,29.39,79.27,64.63,100.0,100.0
dense_scene,10,752,82,29.39,81.71,79.27,100.0,100.0
baseline_wrong,1,2945,324,0.0,28.4,18.21,100.0,100.0
baseline_wrong,3,2945,324,0.0,42.9,32.1,100.0,100.0
baseline_wrong,5,2945,324,0.0,66.05,51.54,100.0,100.0
baseline_wrong,10,2945,324,0.0,85.49,75.62,100.0,100.0
baseline_correct,1,1310,93,100.0,33.33,21.51,100.0,100.0
baseline_correct,3,1310,93,100.0,56.99,49.46,100.0,100.0
baseline_correct,5,1310,93,100.0,74.19,63.44,100.0,100.0
baseline_correct,10,1310,93,100.0,77.42,66.67,100.0,100.0
annotation_exact,1,171,121,26.32,33.88,22.31,100.0,100.0
annotation_exact,3,171,121,26.32,52.07,38.02,100.0,100.0
annotation_exact,5,171,121,26.32,72.73,57.02,100.0,100.0
annotation_exact,10,171,121,26.32,87.6,79.34,100.0,100.0
annotation_fallback,1,411,296,24.82,27.7,17.57,100.0,100.0
annotation_fallback,3,411,296,24.82,43.58,35.14,100.0,100.0
annotation_fallback,5,411,296,24.82,65.88,53.04,100.0,100.0
annotation_fallback,10,411,296,24.82,82.09,71.28,100.0,100.0
